prop_id,prop_location_score2
1,0.13038516788660134
2,0.03610000000000001
3,0.0350551724137931
4,0.11549999999999998
5,0.13038516788660134
6,0.0187625
7,0.12469999999999999
8,0.0719
9,0.04199999999999999
10,0.13038516788660134
11,0.16925078125
12,0.13038516788660134
13,0.006599999999999999
14,0.0146
15,0.01863666666666665
16,0.12367450980392164
17,0.10342500000000003
18,0.008375
19,0.0065
20,0.059
21,0.13038516788660134
22,0.1053
24,0.018600000000000002
25,0.13038516788660134
26,0.0502
27,0.1886
28,0.13038516788660134
29,0.055749999999999994
30,0.5025
31,0.1321
32,0.05828787878787881
33,0.03404078947368423
34,0.6948
35,0.2647333333333333
37,0.003641304347826089
38,0.05777931034482761
39,0.00246
40,0.00206
41,0.0855888888888889
42,0.09523684210526316
43,0.04278
44,0.13038516788660134
45,0.024200000000000006
46,0.19233333333333333
47,0.027800000000000002
48,0.6212875000000001
49,0.0059
50,0.41864999999999997
51,0.01921724137931035
53,0.1271184210526316
54,0.096275
56,0.007144761904761902
57,0.13038516788660134
58,0.13038516788660134
59,0.6404375
60,0.0012
61,0.13038516788660134
62,0.0196
63,0.14035625000000013
64,0.13038516788660134
65,0.12210606060606057
66,0.0244
67,0.016175
68,0.023799999999999998
69,0.08747499999999998
70,0.37083636363636363
71,0.2536
72,0.0368
73,0.29647666666666656
74,0.0626
75,0.16969999999999996
76,0.15209999999999999
77,0.13038516788660134
78,0.05748888888888891
79,0.3189
80,0.13038516788660134
83,0.1357
84,0.11830000000000003
85,0.0341
86,0.10015000000000003
87,0.20078000000000001
88,0.18049032258064504
89,0.009915730337078649
90,0.0024
91,0.05778990825688069
92,0.018910526315789464
93,0.0099
94,0.068725
95,0.5643666666666667
96,0.0155
97,0.026990909090909086
98,0.11710000000000001
99,0.13038516788660134
100,0.0491
101,0.13038516788660134
102,0.075
103,0.22105652173913043
104,0.05126835443037974
106,0.07780000000000001
108,0.0021
109,0.030938349514563177
110,0.07049999999999998
111,0.13038516788660134
112,0.0002
113,0.031009090909090913
114,0.13038516788660134
115,0.010288888888888893
116,0.03508636363636364
117,0.0019
118,0.13038516788660134
119,0.08795
121,0.0013
122,0.2929399999999999
124,0.5
125,0.003
126,0.049425
127,0.1372
128,0.30132000000000003
130,0.0
131,0.01362857142857143
132,0.10612000000000003
133,0.08237142857142857
134,0.015177419354838698
135,0.21781999999999999
136,0.0013
137,0.1334
138,0.0645826086956522
140,0.07361538461538461
141,0.258675
142,0.0061
143,0.13038516788660134
144,0.0029333333333333334
145,0.0219
146,0.0256
148,0.12191212121212114
149,0.3414723756906077
150,0.15008749999999998
153,0.13038516788660134
154,0.0035200000000000023
155,0.02759696969696969
156,0.07125714285714291
157,0.0303
158,0.11216666666666665
159,0.13038516788660134
160,0.08199999999999999
161,0.2881666666666666
162,0.3635525362318829
163,0.21931428571428566
164,0.2371
165,0.2214777777777779
167,0.13038516788660134
168,0.05630000000000001
169,0.33809999999999996
170,0.13038516788660134
172,0.131875
173,0.13038516788660134
174,0.04017906976744179
176,0.17226000000000005
177,0.13038516788660134
178,0.13038516788660134
179,0.024282926829268296
180,0.13038516788660134
181,0.0429
182,0.13038516788660134
184,0.0085
186,0.0238
187,0.13038516788660134
188,0.13038516788660134
189,0.0
190,0.0012
192,0.41046842105263154
193,0.13038516788660134
194,0.13038516788660134
195,0.0023
196,0.13038516788660134
198,0.13038516788660134
199,0.006527272727272722
200,0.13038516788660134
201,0.047448275862068956
202,0.13038516788660134
203,0.03126363636363636
204,0.13038516788660134
205,0.0029249999999999996
206,0.2127636363636365
208,0.08471914357682601
209,0.13038516788660134
210,0.10201714285714295
211,0.03004583333333333
212,0.13038516788660134
213,0.04131428571428571
214,0.3768333333333333
