prop_id,prop_review_score
1,0.0
2,4.0
3,3.5
4,4.5
5,0.0
6,0.0
7,5.0
8,4.0
9,3.0
10,5.0
11,4.0
12,4.5
13,0.0
14,0.0
15,3.5
16,5.0
17,3.5
18,3.5
19,0.0
20,4.5
21,0.0
22,3.0
24,3.5
25,4.5
26,4.5
27,3.0
28,0.0
29,4.5
30,3.5
31,4.5
32,4.0
33,3.5
34,0.0
35,4.0
37,5.0
38,3.5
39,3.0
40,4.5
41,3.0
42,4.5
43,2.5
44,0.0
45,0.0
46,4.5
47,4.5
48,4.0
49,1.0
50,5.0
51,4.5
53,4.0
54,4.5
56,4.5
57,0.0
58,0.0
59,4.0
60,0.0
61,0.0
62,4.0
63,4.0
64,0.0
65,4.5
66,0.0
67,4.0
68,4.5
69,4.0
70,4.0
71,3.0
72,0.0
73,3.5
74,4.0
75,4.0
76,4.5
77,0.0
78,1.5
79,4.5
80,0.0
83,2.0
84,4.5
85,3.5
86,4.5
87,4.0
88,4.0
89,5.0
90,4.0
91,4.0
92,4.5
93,5.0
94,0.0
95,0.0
96,0.0
97,3.5
98,4.0
99,0.0
100,4.0
101,1.0
102,3.5
103,3.5
104,4.0
106,4.5
108,4.5
109,3.5
110,4.5
111,0.0
112,0.0
113,4.5
114,4.0
115,3.5
116,4.0
117,4.5
118,4.5
119,4.0
121,3.5
122,4.5
124,4.0
125,3.0
126,4.0
127,5.0
128,5.0
130,3.5
131,4.5
132,3.5
133,3.5
134,4.5
135,4.5
136,0.0
137,5.0
138,4.0
140,4.0
141,3.0
142,0.0
143,4.5
144,3.5
145,4.5
146,4.5
148,3.5
149,4.5
150,4.5
153,0.0
154,3.5
155,4.0
156,4.5
157,4.0
158,4.0
159,4.5
160,4.5
161,4.5
162,4.0
163,3.0
164,0.0
165,2.5
167,0.0
168,4.5
169,4.0
170,0.0
172,0.0
173,0.0
174,4.5
176,4.0
177,4.0
178,0.0
179,4.0
180,5.0
181,5.0
182,0.0
184,3.5
186,0.0
187,0.0
188,0.0
189,4.5
190,5.0
192,3.5
193,3.5
194,0.0
195,3.5
196,0.0
198,5.0
199,4.0
200,0.0
201,4.0
202,0.0
203,3.0
204,0.0
205,3.0
206,3.0
208,4.0
209,0.0
210,4.0
211,4.0
212,0.0
213,3.5
214,5.0
215,0.0
216,4.5
217,2.5
218,0.0
219,3.5
220,4.0
221,4.5
222,5.0
223,3.0
224,4.0
225,3.5
226,3.5
227,4.5
228,5.0
229,4.0
230,0.0
231,4.0
232,0.0
233,5.0
234,4.5
235,0.0
236,3.0
237,4.0
238,4.5
239,4.5
240,5.0
241,0.0
242,0.0
243,4.0
244,0.0
245,4.0
246,3.5
247,1.0
248,3.5
249,0.0
250,5.0
251,0.0
252,3.5
254,4.5
255,4.5
256,5.0
257,5.0
258,2.0
259,5.0
260,4.0
261,0.0
262,4.0
263,5.0
264,3.0
265,4.5
266,4.5
267,5.0
268,3.5
269,3.0
270,4.0
271,4.5
272,4.0
273,0.0
274,0.0
275,4.5
276,0.0
277,3.5
278,0.0
279,4.0
280,4.0
281,4.5
282,4.0
283,4.5
284,4.5
285,0.0
286,3.5
287,3.5
288,3.0
289,3.5
291,0.0
292,3.5
293,4.5
294,4.5
295,3.5
297,5.0
298,0.0
299,4.0
300,4.0
301,4.5
302,0.0
303,4.0
305,5.0
306,0.0
307,3.0
308,4.0
309,4.0
310,0.0
311,4.5
312,0.0
313,5.0
314,4.0
315,4.0
316,0.0
317,3.5
319,4.5
320,0.0
321,0.0
322,3.5
323,4.5
324,1.0
325,3.5
326,4.5
327,4.5
328,4.5
329,4.0
330,0.0
331,3.5
332,3.5
333,4.0
334,4.5
335,3.5
337,5.0
338,2.0
339,4.5
340,4.0
341,0.0
342,0.0
343,0.0
344,4.0
345,0.0
346,4.5
347,4.0
