srch_id,orig_destination_distance
1,386.6
4,238.3
6,652.84
8,4.17
11,284.56
12,9285.95
17,433.82
21,386.6
25,766.53
28,115.63499999999999
29,3748.315
30,386.6
31,386.6
36,386.6
39,53.82
40,386.6
42,55.95
43,114.36
44,386.6
45,386.6
46,386.6
47,5592.33
49,144.25
52,974.1
53,0.345
56,7405.585
57,66.75
60,7955.77
61,1955.62
63,1937.45
64,70.595
65,17.44
66,386.6
67,5010.75
71,386.6
72,386.6
73,2559.18
74,2261.6800000000003
75,319.53999999999996
78,386.6
79,3996.425
80,391.02
81,146.60500000000002
82,5509.36
83,308.72
84,4791.889999999999
85,130.88
87,164.23
90,1208.09
93,3455.79
94,107.02
96,8053.5599999999995
97,206.04500000000002
99,197.09
101,386.6
102,327.22
103,8596.09
104,1008.155
106,155.61
107,84.61
108,386.6
109,1308.17
110,268.35
111,386.6
112,1637.6399999999999
113,386.6
114,176.09
115,525.29
116,179.02
117,78.41
118,278.53
119,386.6
120,111.26
123,386.6
124,705.03
126,386.6
127,440.73
128,342.29
129,386.6
131,386.6
133,397.78499999999997
134,84.88
135,334.1
136,164.3
138,208.91
139,24.8
140,386.6
143,386.6
144,386.6
145,227.53
146,278.23
147,1465.82
148,386.6
151,386.6
152,80.42
157,495.2
158,2414.35
159,769.935
160,386.6
161,1541.32
162,3738.47
163,122.69
165,2301.01
168,386.6
170,355.08
174,666.9000000000001
175,44.29
176,386.6
177,1038.11
178,386.6
179,1286.455
180,217.26
181,149.63
183,386.6
184,386.6
185,617.65
187,386.6
188,386.6
190,6903.525
191,386.6
192,412.775
193,186.765
194,1178.08
195,302.35
196,474.49
198,421.295
199,567.45
203,222.19
204,2128.14
207,1328.29
213,386.6
218,526.01
220,5669.6849999999995
221,633.76
224,125.51
225,1.505
226,192.63
229,386.6
230,102.91
231,386.6
235,1052.1999999999998
236,386.6
237,386.6
240,853.58
241,7525.2
242,1160.81
246,96.205
247,162.95499999999998
248,386.6
252,6351.95
253,113.99
257,301.39
259,384.6
262,112.91499999999999
264,386.6
265,10.04
267,125.12
268,386.6
271,386.6
275,263.39
276,538.67
277,310.15
282,386.6
288,386.6
290,108.33500000000001
292,227.45
293,386.6
294,386.6
295,386.6
296,386.6
297,628.86
299,386.6
300,3813.75
307,320.57
308,733.51
309,1531.41
310,382.085
312,1006.255
313,2442.41
317,292.365
320,386.6
321,386.6
322,76.76
325,1434.94
326,938.77
328,560.23
329,1119.27
331,386.6
333,386.6
335,10301.5
338,678.09
339,239.31
342,7960.04
344,581.035
345,8795.025000000001
346,386.6
348,47.28
350,210.17
353,933.49
355,971.79
356,3668.44
357,526.6500000000001
359,177.52
360,4502.535
361,12.0
362,386.6
365,962.9
366,5748.15
367,386.6
372,4696.83
374,2551.62
375,237.435
376,386.6
377,419.155
379,103.0
382,386.6
383,386.6
384,386.6
386,386.6
387,1195.98
390,386.6
391,52.34
392,355.385
394,386.6
395,595.33
396,346.68
398,134.39
399,1973.44
400,386.6
401,60.565
405,386.6
406,148.01999999999998
408,386.6
409,5583.764999999999
410,386.6
411,2.39
412,386.6
413,114.96000000000001
416,319.29
418,198.54
419,541.5
423,46.97
424,386.6
425,386.675
427,99.9
428,88.38
429,386.6
431,386.6
432,386.6
433,176.45999999999998
434,386.6
435,386.6
436,386.6
438,89.67
439,386.6
441,14.47
442,870.28
444,386.6
447,4067.82
452,307.04
453,425.805
455,1128.97
458,386.6
460,386.6
461,41.144999999999996
462,672.735
466,6613.53
468,145.03
469,573.13
471,386.6
472,2176.18
474,1211.53
476,386.6
477,386.6
478,386.6
479,386.6
480,73.6
483,1500.78
484,1102.21
486,386.6
489,4032.7799999999997
490,37.32
491,386.6
497,6373.915
498,7500.15
500,386.6
501,386.6
507,770.0350000000001
508,68.22999999999999
509,81.66499999999999
511,386.6
512,386.6
513,7204.625
516,386.6
517,386.6
518,386.6
520,386.6
521,7.3
522,109.51
523,934.71
